"person_id","person_type","crash_record_id","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"P405998","PASSENGER","bbb9be71cf614ff90ea45b9f13ee7822fba45519a976ee945c92366900dab1c57952736359c74b434013a981b7349559585dabf870218221a51526cb5ec48a75","1748725","2024-06-05T23:50:00.000","1","CHICAGO","IL","60638","M","23",,,"NONE PRESENT","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1835800","DRIVER","52e1f87356532b075ec519f8db6e50976ec6f5c4262777c25f8a65ab635134b5f311512d6a22d694b240e1a05d2f98236422f11008e9bf86204bbb275cbf74c2","1748715","2024-06-05T23:24:00.000",,"CHICAGO",,,"F","25","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1835801","DRIVER","52e1f87356532b075ec519f8db6e50976ec6f5c4262777c25f8a65ab635134b5f311512d6a22d694b240e1a05d2f98236422f11008e9bf86204bbb275cbf74c2","1748717","2024-06-05T23:24:00.000",,"AURORA",,,"F","20","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835804","DRIVER","e2a993a032c4ac80359703c27ee32915e8a7bd02bb385fa158acfa0442c033aaef178ce0a72839668b3bf3bd05b001f39146e464b360a50502e1c1bad04f5605","1748719","2024-06-05T22:35:00.000",,,,,"X",,"XX",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835826","DRIVER","8be3d4c9775e19ec078f15274fd343ec42fe54349d7322e03a00849714bd75e7e2c3b462fd1f42af31e09779de7de7dfb1e0a73c3590ac8a1c4fd9f194becd76","1748744","2024-06-05T22:30:00.000",,"CHICAGO","IL","60639","M","27","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835827","PEDESTRIAN","8be3d4c9775e19ec078f15274fd343ec42fe54349d7322e03a00849714bd75e7e2c3b462fd1f42af31e09779de7de7dfb1e0a73c3590ac8a1c4fd9f194becd76",,"2024-06-05T22:30:00.000",,"CHICAO","IL","60639","F","34",,,"NONE PRESENT",,,"NONINCAPACITATING INJURY","COMMUNITY FIRST",,,"OTHER","NOT OBSCURED","NORMAL","OTHER ACTION","NO CONTRASTING CLOTHING","IN CROSSWALK","TEST NOT OFFERED",,
"O1835783","DRIVER","6981eee954fa8d81d49ce4cff20ca96e0db8c27037c13edc0794a16c554726e337ebc74235f45b280b6356f789af8cfa27692453af6ea3c6991943817730e174","1748708","2024-06-05T22:18:00.000",,"CHICAGO","IL",,"M","27","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835784","DRIVER","6981eee954fa8d81d49ce4cff20ca96e0db8c27037c13edc0794a16c554726e337ebc74235f45b280b6356f789af8cfa27692453af6ea3c6991943817730e174","1748711","2024-06-05T22:18:00.000",,"MIDLAND","MI",,"F","37","MI","D","USAGE UNKNOWN","NOT APPLICABLE","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835791","DRIVER","3b08f4d70f002827abe503aed0dd881f64ee21f01741a6689d706772b784eedf4ee6ce2dd3f38b7671039c4bf580c308fb98f3e948bf150a4eb6673675fb71ce","1748709","2024-06-05T22:00:00.000",,"BRADLEY","IL","60915","F","28","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835792","DRIVER","3b08f4d70f002827abe503aed0dd881f64ee21f01741a6689d706772b784eedf4ee6ce2dd3f38b7671039c4bf580c308fb98f3e948bf150a4eb6673675fb71ce","1748705","2024-06-05T22:00:00.000",,"CHICAGO","IL","60645","M","31","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P405992","PASSENGER","3b08f4d70f002827abe503aed0dd881f64ee21f01741a6689d706772b784eedf4ee6ce2dd3f38b7671039c4bf580c308fb98f3e948bf150a4eb6673675fb71ce","1748705","2024-06-05T22:00:00.000","3","CHICAGO","IL","60645","F","29",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P405994","PASSENGER","3b08f4d70f002827abe503aed0dd881f64ee21f01741a6689d706772b784eedf4ee6ce2dd3f38b7671039c4bf580c308fb98f3e948bf150a4eb6673675fb71ce","1748709","2024-06-05T22:00:00.000","7",,"IL",,,,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1835777","DRIVER","dd63f580c3645e6df62c814da8cfcc687c5a325fe578893b4da0d86d18c0177258c83acac05cf087f20475ab2115526122a05d09c868bcb89134ef41c2b1d8a0","1748691","2024-06-05T21:55:00.000",,"CHICAGO","IL","60637","F","41","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1835809","DRIVER","ed65722cc175cc3b03a2064c41dbd4ffa6331c7c0f0aebe991fea8aa1584196d082ec13fd1b96f0d590e67a7fc90989f4947d3406067ccbd39c2e66f82f95bcf","1748726","2024-06-05T21:30:00.000",,"CHICAGO","IL","60621","M","43","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","ST BERNARDS HOSPITAL","CFD AMB 60",,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1835810","DRIVER","ed65722cc175cc3b03a2064c41dbd4ffa6331c7c0f0aebe991fea8aa1584196d082ec13fd1b96f0d590e67a7fc90989f4947d3406067ccbd39c2e66f82f95bcf","1748728","2024-06-05T21:30:00.000",,"CHICAGO","IL","60621","M","36","IL","A","HELMET NOT USED","NOT APPLICABLE","NONE","NONINCAPACITATING INJURY","DECLINED","CFD AMB 60",,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835767","DRIVER","af3940375ab8d8a9f1921f4576d2bc8d628970e8807700e0aa45927fbb107f9b71a26152fc5a18e31257762fbd4e7bc615af0fa94b3e476936de9c7b544d4dda","1748690","2024-06-05T21:08:00.000",,"CHICAGO","IL","60617","M","17",,,"NONE PRESENT","NOT APPLICABLE","NONE","NONINCAPACITATING INJURY","UNIVERSITY OF CHICAGO","CFD AMBO 71",,"IMPROPER PASSING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835768","DRIVER","af3940375ab8d8a9f1921f4576d2bc8d628970e8807700e0aa45927fbb107f9b71a26152fc5a18e31257762fbd4e7bc615af0fa94b3e476936de9c7b544d4dda","1748696","2024-06-05T21:08:00.000",,"CHICAGO","IL","60617","M","49","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835751","DRIVER","107a609fec13e431f7d8b7be8abe029191a8a8f40c59391e5b5081c4b7f251a6597c9fe5bb4b33d60da43541df20798999259cb7e291de9fc27cf41ed9ba133b","1748667","2024-06-05T20:59:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835752","DRIVER","107a609fec13e431f7d8b7be8abe029191a8a8f40c59391e5b5081c4b7f251a6597c9fe5bb4b33d60da43541df20798999259cb7e291de9fc27cf41ed9ba133b","1748670","2024-06-05T20:59:00.000",,"OAK LAWN","IL","60453","M","48","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835749","DRIVER","f0e61112e542d26c438f90bc5da898c0306b69420c65e11e187a2bd6055bc69d3453d7f09b72a5aaff7a34b0aca3788e7be178ea9776f2f6c6c62855b755383c","1748668","2024-06-05T20:54:00.000",,"CHICAGO","IL","60629","F","23","IL",,"NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1835750","DRIVER","f0e61112e542d26c438f90bc5da898c0306b69420c65e11e187a2bd6055bc69d3453d7f09b72a5aaff7a34b0aca3788e7be178ea9776f2f6c6c62855b755383c","1748671","2024-06-05T20:54:00.000",,"CHICAGO","IL","60621","F","42","IL",,"NONE PRESENT","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1835757","DRIVER","c0f2c57fa6b4387b5aa6024b668bf6d6cad01eac7d390343a5dbf80042512990cc7bc92d2c1ca6b9954b4e48c1f9d24b9e0d9d45bf780c38eee18d54e7a1bce1","1748676","2024-06-05T20:50:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835758","DRIVER","c0f2c57fa6b4387b5aa6024b668bf6d6cad01eac7d390343a5dbf80042512990cc7bc92d2c1ca6b9954b4e48c1f9d24b9e0d9d45bf780c38eee18d54e7a1bce1","1748679","2024-06-05T20:50:00.000",,"CHICAGO","IL","60629","M","19","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","REPORTED, NOT EVIDENT",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835739","DRIVER","468b4cac9bb4059c5156641b9e138ed6dd523e478787b45b9530b911b2bcaabbc93a227f6320a76b94545872924ca887e239c01e8ad5176805ffb7b7b821f7ca","1748663","2024-06-05T20:40:00.000",,"CHICAGO","IL","60629","M","27","IL",,"DOT COMPLIANT MOTORCYCLE HELMET","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835740","BICYCLE","468b4cac9bb4059c5156641b9e138ed6dd523e478787b45b9530b911b2bcaabbc93a227f6320a76b94545872924ca887e239c01e8ad5176805ffb7b7b821f7ca",,"2024-06-05T20:40:00.000",,"CHICAGO","IL","60629","M","19",,,"HELMET NOT USED",,"NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN","WITH TRAFFIC","NO CONTRASTING CLOTHING","IN ROADWAY","TEST NOT OFFERED",,
"O1835745","DRIVER","2c8f9666c06fdd288f472ddcc54d4d9922ddce16a54f2aac63e7a2ffbe868edf44f51fe036b345a538d57abef5481cef0800138157330d35935b80b93d133344","1748665","2024-06-05T20:30:00.000",,"DEXTER","MO","63841","F","22","MO","F","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","OTHER","NORMAL",,,,"TEST NOT OFFERED",,
"O1835746","DRIVER","2c8f9666c06fdd288f472ddcc54d4d9922ddce16a54f2aac63e7a2ffbe868edf44f51fe036b345a538d57abef5481cef0800138157330d35935b80b93d133344","1748669","2024-06-05T20:30:00.000",,"ELMURST","IL","60126","M","26","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","UNKNOWN","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835725","DRIVER","ee4c1dd0073d9e43afe1195028847380525de945601c05e8ff0d1cc40dbcad07e053c22eb12cad3d98aefa57fc421b64d01ffafeca85761e3d4cc501e9362f70","1748658","2024-06-05T20:25:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"EMERGENCY VEHICLE ON CALL","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835726","DRIVER","ee4c1dd0073d9e43afe1195028847380525de945601c05e8ff0d1cc40dbcad07e053c22eb12cad3d98aefa57fc421b64d01ffafeca85761e3d4cc501e9362f70","1748662","2024-06-05T20:25:00.000",,"CHICAGO","IL","60612","M","44","IL","B","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P405987","PASSENGER","ee4c1dd0073d9e43afe1195028847380525de945601c05e8ff0d1cc40dbcad07e053c22eb12cad3d98aefa57fc421b64d01ffafeca85761e3d4cc501e9362f70","1748658","2024-06-05T20:25:00.000","1",,"IL",,,,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1835715","DRIVER","9363b499e2bf61d913783aadb9bcfd038b5e8d99c086c514a6c9a0a04926c25de0ce9fdaca1c1d2e181b5ac70d51b386d67813b447a889161b86149919047f40","1748632","2024-06-05T20:20:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835716","DRIVER","9363b499e2bf61d913783aadb9bcfd038b5e8d99c086c514a6c9a0a04926c25de0ce9fdaca1c1d2e181b5ac70d51b386d67813b447a889161b86149919047f40","1748637","2024-06-05T20:20:00.000",,"ROMEOVILLE","IL","60446","M","42","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P405980","PASSENGER","9363b499e2bf61d913783aadb9bcfd038b5e8d99c086c514a6c9a0a04926c25de0ce9fdaca1c1d2e181b5ac70d51b386d67813b447a889161b86149919047f40","1748632","2024-06-05T20:20:00.000","3",,,,"F",,,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P405982","PASSENGER","9363b499e2bf61d913783aadb9bcfd038b5e8d99c086c514a6c9a0a04926c25de0ce9fdaca1c1d2e181b5ac70d51b386d67813b447a889161b86149919047f40","1748637","2024-06-05T20:20:00.000","3",,,,"F",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P405983","PASSENGER","9363b499e2bf61d913783aadb9bcfd038b5e8d99c086c514a6c9a0a04926c25de0ce9fdaca1c1d2e181b5ac70d51b386d67813b447a889161b86149919047f40","1748637","2024-06-05T20:20:00.000","4",,,,"M",,,,"CHILD RESTRAINT - FORWARD FACING","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P405984","PASSENGER","9363b499e2bf61d913783aadb9bcfd038b5e8d99c086c514a6c9a0a04926c25de0ce9fdaca1c1d2e181b5ac70d51b386d67813b447a889161b86149919047f40","1748637","2024-06-05T20:20:00.000","6",,,,"F",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P405985","PASSENGER","9363b499e2bf61d913783aadb9bcfd038b5e8d99c086c514a6c9a0a04926c25de0ce9fdaca1c1d2e181b5ac70d51b386d67813b447a889161b86149919047f40","1748637","2024-06-05T20:20:00.000","10",,,,"F",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1835737","DRIVER","9cfcd6d73b2b56b673e47bffb7dc2743a972af28a7885072a70f430114ac69a5f68ebd155a9a0e86c4d13d5409de7231a88691513461b512c141e642975f7397","1748655","2024-06-05T20:18:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835738","DRIVER","9cfcd6d73b2b56b673e47bffb7dc2743a972af28a7885072a70f430114ac69a5f68ebd155a9a0e86c4d13d5409de7231a88691513461b512c141e642975f7397","1748661","2024-06-05T20:18:00.000",,"CHICAGO HEIGHTS","IL","60411","F","49","IL","B","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835735","DRIVER","344186e333a68802bc635b9df78c8a729d2291e285b2c1ef4df9acbd7ebe71eb39ad8b3d9c26fb03895aa18bfba18d93753cf2b7de04eec6aa1f2ea7dd617f31","1748654","2024-06-05T20:04:00.000",,"CHICAGO","IL","60613","F","29","IL",,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PASSING","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835729","DRIVER","4b189bba6a8a9d97af5bdba3fb4a864f04168c46c1ccc8193447368b04a83a003d0fb027a9ac39b5ebfd1ed338d01c5b4decd486e556e1ac9a7a14fd597cc8b9","1748650","2024-06-05T20:03:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835730","DRIVER","4b189bba6a8a9d97af5bdba3fb4a864f04168c46c1ccc8193447368b04a83a003d0fb027a9ac39b5ebfd1ed338d01c5b4decd486e556e1ac9a7a14fd597cc8b9","1748652","2024-06-05T20:03:00.000",,"SKOKIE","IL","60076","M","73","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835720","DRIVER","cc55ec73319e7b3b3c7f843e37df3afad10fca5d6c80aba824c13551cf1d5f5f9c6cdbf93a76aa23760c07a4e9e797c5dcc833f7668c51cbc77b869e5e45a9dc","1748640","2024-06-05T19:54:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835670","DRIVER","14090de473f49bc504a2eed3b4ed4730809a9872dd40580206a21d49a220a8933ac644ae2ea4645214e750eeef88ab2ab6abb105944af5bda44c6ae56c2abac1","1748584","2024-06-05T19:35:00.000",,,,,"M",,"XX",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835671","DRIVER","14090de473f49bc504a2eed3b4ed4730809a9872dd40580206a21d49a220a8933ac644ae2ea4645214e750eeef88ab2ab6abb105944af5bda44c6ae56c2abac1","1748592","2024-06-05T19:35:00.000",,"CHICAGO","IL","60647","M","36","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","REPORTED, NOT EVIDENT",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835678","DRIVER","6e71b997423cce2f99ded3a2650d40ef025a347553b214066a99864352952353b0e8dd28c2f05ae44d9e9126895edbf09619991273896aa4bfa54548be8fa991","1748593","2024-06-05T19:25:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835679","DRIVER","6e71b997423cce2f99ded3a2650d40ef025a347553b214066a99864352952353b0e8dd28c2f05ae44d9e9126895edbf09619991273896aa4bfa54548be8fa991","1748601","2024-06-05T19:25:00.000",,"CHICAGO","IL","60624","M","65","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835802","DRIVER","ea6d73a3bccbfa0a2e3d90ecf7dea44b08a13adee118641760b245c96281b6da35c75ef4c3abf10c06a517922c1a422736563666166cf5d22b7ea7608f6c4bfd","1748720","2024-06-05T19:25:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835803","DRIVER","ea6d73a3bccbfa0a2e3d90ecf7dea44b08a13adee118641760b245c96281b6da35c75ef4c3abf10c06a517922c1a422736563666166cf5d22b7ea7608f6c4bfd","1748721","2024-06-05T19:25:00.000",,"CHICAGO","IL","60657","M","36","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P405995","PASSENGER","ea6d73a3bccbfa0a2e3d90ecf7dea44b08a13adee118641760b245c96281b6da35c75ef4c3abf10c06a517922c1a422736563666166cf5d22b7ea7608f6c4bfd","1748721","2024-06-05T19:25:00.000","3","CHICAGO","IL","60657","F","33",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1835709","DRIVER","dff538f770c26b007bcb992eb82473740ce91d6b0ce76aa622cd482a6b25c84f460cdc96050b33658e6ddf26b563f675379fb3f53256a2cba82451f01949c975","1748645","2024-06-05T19:15:00.000",,"CHICAGO","IL","60618","M","48","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835710","DRIVER","dff538f770c26b007bcb992eb82473740ce91d6b0ce76aa622cd482a6b25c84f460cdc96050b33658e6ddf26b563f675379fb3f53256a2cba82451f01949c975","1748648","2024-06-05T19:15:00.000",,"CHICAGO","IL","60645","M","30","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
