"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"dd63f580c3645e6df62c814da8cfcc687c5a325fe578893b4da0d86d18c0177258c83acac05cf087f20475ab2115526122a05d09c868bcb89134ef41c2b1d8a0",,"2024-06-05T21:55:00.000","35","NO CONTROLS","FUNCTIONING PROPERLY","CLEAR","DARKNESS","PARKED MOTOR VEHICLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"$500 OR LESS","2024-06-05T22:06:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","7104","S","JEFFERY BLVD","333",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","21","4","6","41.765920416","-87.576440249","POINT (-87.576440248762 41.765920416429)"
"ed65722cc175cc3b03a2064c41dbd4ffa6331c7c0f0aebe991fea8aa1584196d082ec13fd1b96f0d590e67a7fc90989f4947d3406067ccbd39c2e66f82f95bcf",,"2024-06-05T21:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-05T21:30:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","UNABLE TO DETERMINE","6715","S","HALSTED ST","723",,,,,,,"2","NONINCAPACITATING INJURY","2","0","0","2","0","0","0","21","4","6","41.771989161","-87.644436637","POINT (-87.644436636905 41.771989160969)"
"af3940375ab8d8a9f1921f4576d2bc8d628970e8807700e0aa45927fbb107f9b71a26152fc5a18e31257762fbd4e7bc615af0fa94b3e476936de9c7b544d4dda",,"2024-06-05T21:08:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-06-05T21:09:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","3000","E","100TH ST","431",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","1","0","21","4","6","41.713497062","-87.550901603","POINT (-87.550901602635 41.713497061729)"
"107a609fec13e431f7d8b7be8abe029191a8a8f40c59391e5b5081c4b7f251a6597c9fe5bb4b33d60da43541df20798999259cb7e291de9fc27cf41ed9ba133b",,"2024-06-05T20:59:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-05T21:25:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","7201","S","CICERO AVE","833",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","4","6","41.761848064","-87.741670647","POINT (-87.741670647349 41.761848063557)"
"f0e61112e542d26c438f90bc5da898c0306b69420c65e11e187a2bd6055bc69d3453d7f09b72a5aaff7a34b0aca3788e7be178ea9776f2f6c6c62855b755383c",,"2024-06-05T20:54:00.000","30","UNKNOWN","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","HEAD ON","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-06-05T20:54:00.000","NOT APPLICABLE","NOT APPLICABLE","800","W","66TH ST","723",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","4","6","41.774403503","-87.64471002","POINT (-87.644710019692 41.774403502511)"
"c0f2c57fa6b4387b5aa6024b668bf6d6cad01eac7d390343a5dbf80042512990cc7bc92d2c1ca6b9954b4e48c1f9d24b9e0d9d45bf780c38eee18d54e7a1bce1",,"2024-06-05T20:50:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","OTHER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","$501 - $1,500","2024-06-05T21:21:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","3199","W","63RD ST","823",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","20","4","6","41.778864296","-87.703073357","POINT (-87.703073357418 41.778864296018)"
"468b4cac9bb4059c5156641b9e138ed6dd523e478787b45b9530b911b2bcaabbc93a227f6320a76b94545872924ca887e239c01e8ad5176805ffb7b7b821f7ca",,"2024-06-05T20:40:00.000","35","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PEDALCYCLIST","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-05T20:45:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","2290","S","ARCHER AVE","914",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","4","6","41.851197833","-87.638540303","POINT (-87.638540303313 41.851197833308)"
"2c8f9666c06fdd288f472ddcc54d4d9922ddce16a54f2aac63e7a2ffbe868edf44f51fe036b345a538d57abef5481cef0800138157330d35935b80b93d133344",,"2024-06-05T20:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-06-05T21:11:00.000","IMPROPER LANE USAGE","NOT APPLICABLE","6379","N","LINCOLN AVE","1711",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","4","6","41.997326962","-87.718434","POINT (-87.71843400026 41.997326962272)"
"ee4c1dd0073d9e43afe1195028847380525de945601c05e8ff0d1cc40dbcad07e053c22eb12cad3d98aefa57fc421b64d01ffafeca85761e3d4cc501e9362f70",,"2024-06-05T20:25:00.000","30","UNKNOWN","UNKNOWN","CLEAR","DUSK","SIDESWIPE SAME DIRECTION","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","$500 OR LESS","2024-06-05T20:34:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","3123","W","DOUGLAS BLVD","1022",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","20","4","6","41.862418839","-87.703998918","POINT (-87.703998918153 41.86241883901)"
"9363b499e2bf61d913783aadb9bcfd038b5e8d99c086c514a6c9a0a04926c25de0ce9fdaca1c1d2e181b5ac70d51b386d67813b447a889161b86149919047f40",,"2024-06-05T20:20:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2024-06-05T20:42:00.000","ROAD CONSTRUCTION/MAINTENANCE","ROAD CONSTRUCTION/MAINTENANCE","3200","W","63RD ST","823",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","7","0","20","4","6","41.779081505","-87.703260365","POINT (-87.703260365447 41.779081504883)"
"9cfcd6d73b2b56b673e47bffb7dc2743a972af28a7885072a70f430114ac69a5f68ebd155a9a0e86c4d13d5409de7231a88691513461b512c141e642975f7397",,"2024-06-05T20:18:00.000","25","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","SIDESWIPE SAME DIRECTION","FOUR WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2024-06-05T20:31:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","2326","W","95TH ST","2221",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","4","6","41.721068091","-87.680776466","POINT (-87.680776465559 41.72106809066)"
"344186e333a68802bc635b9df78c8a729d2291e285b2c1ef4df9acbd7ebe71eb39ad8b3d9c26fb03895aa18bfba18d93753cf2b7de04eec6aa1f2ea7dd617f31",,"2024-06-05T20:04:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAWN","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-05T20:31:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","300","N","KEDZIE AVE","1123",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","20","4","6","41.886471837","-87.706430699","POINT (-87.706430699075 41.886471836896)"
"4b189bba6a8a9d97af5bdba3fb4a864f04168c46c1ccc8193447368b04a83a003d0fb027a9ac39b5ebfd1ed338d01c5b4decd486e556e1ac9a7a14fd597cc8b9",,"2024-06-05T20:03:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DUSK","TURNING","T-INTERSECTION",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,"Y","OVER $1,500","2024-06-05T20:08:00.000","FAILING TO YIELD RIGHT-OF-WAY","DRIVING ON WRONG SIDE/WRONG WAY","3699","N","ARTESIAN AVE","1921",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","4","6","41.94843836","-87.689371047","POINT (-87.689371047169 41.948438360435)"
"cc55ec73319e7b3b3c7f843e37df3afad10fca5d6c80aba824c13551cf1d5f5f9c6cdbf93a76aa23760c07a4e9e797c5dcc833f7668c51cbc77b869e5e45a9dc",,"2024-06-05T19:54:00.000","10","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,"Y","Y","$501 - $1,500","2024-06-05T20:08:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","5109","N","FRANCISCO AVE","2031",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","19","4","6","41.974297701","-87.70115897","POINT (-87.70115896952 41.97429770078)"
"14090de473f49bc504a2eed3b4ed4730809a9872dd40580206a21d49a220a8933ac644ae2ea4645214e750eeef88ab2ab6abb105944af5bda44c6ae56c2abac1",,"2024-06-05T19:35:00.000","35","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,"Y","$501 - $1,500","2024-06-05T19:39:00.000","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER","2798","W","LOGAN BLVD","1411",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","19","4","6","41.928576144","-87.697457182","POINT (-87.697457182261 41.928576144372)"
"6e71b997423cce2f99ded3a2650d40ef025a347553b214066a99864352952353b0e8dd28c2f05ae44d9e9126895edbf09619991273896aa4bfa54548be8fa991",,"2024-06-05T19:25:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-05T19:34:00.000","IMPROPER OVERTAKING/PASSING","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","3916","W","WASHINGTON BLVD","1122",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","4","6","41.881969286","-87.723992613","POINT (-87.723992612824 41.881969286371)"
"ea6d73a3bccbfa0a2e3d90ecf7dea44b08a13adee118641760b245c96281b6da35c75ef4c3abf10c06a517922c1a422736563666166cf5d22b7ea7608f6c4bfd",,"2024-06-05T19:25:00.000","30","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-05T20:34:00.000","NOT APPLICABLE","NOT APPLICABLE","3200","N","SHERIDAN RD","1925",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","19","4","6","41.940189546","-87.639701981","POINT (-87.639701980874 41.940189546244)"
"dff538f770c26b007bcb992eb82473740ce91d6b0ce76aa622cd482a6b25c84f460cdc96050b33658e6ddf26b563f675379fb3f53256a2cba82451f01949c975",,"2024-06-05T19:15:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","TURNING","T-INTERSECTION",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2024-06-05T19:22:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","4012","N","CALIFORNIA AVE","1724",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","4","6","41.954399199","-87.698398961","POINT (-87.698398961042 41.954399199348)"
"b7f56697aa8d1338f963673d10027bc4df31ec0d08be09c82b58f746a394ef5167bb66bcfbd0e7613c205c5db2f31b651a5278fdf3f3a31f1da7e4762aa16768",,"2024-06-05T19:14:00.000","30","OTHER","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","REAR END","OTHER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2024-06-05T19:50:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","8801","S","CHICAGO SKYWAY OB","412",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","5","0","19","4","6","41.735344167","-87.565549737","POINT (-87.565549737402 41.735344167053)"
"a5ca0ef44f1addf687ec4b1f68c37b8601092d514cbd9e53d32c15b45509c4feb1ae030e8ed5e921003feb80824c719c6f74e79eb33e234cae304b73b11ec234",,"2024-06-05T19:04:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-05T19:05:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","5112","W","ROSCOE ST","1634",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","4","6","41.942484437","-87.754935567","POINT (-87.754935566542 41.942484436747)"
"ff607452966d9bddc369894e332c10b47834e9cc3644c5c8ac42e51ea1656a5c929227087b78625bcb0207b05ad0921bf8ced889e8f1303e41a3194bff269950",,"2024-06-05T19:04:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-06-05T19:04:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","609","W","71ST ST","732",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","19","4","6","41.765162455","-87.639976179","POINT (-87.639976179402 41.765162455177)"
"3e0d16b4bea27e652dbd17d17102fd7d3ab2efacd98fc1c3efe185f76872dbfd4eaae435e7f42cb1969e05b6e632731021879310f2a3f6d2c73c78a777cfc1b4",,"2024-06-05T19:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2024-06-05T20:50:00.000","FAILING TO YIELD RIGHT-OF-WAY","UNABLE TO DETERMINE","3550","N","ROCKWELL ST","1921",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","4","6","41.946299878","-87.694275288","POINT (-87.694275287979 41.946299877748)"
"4c7c1802ec2e36206f309dc5c18df3fedd83dde37c22214bba374de9bdf4a065806fa33bacb6163a63bb0adcad46c4af324befa741347b22eb605dd4d75242ba",,"2024-06-05T19:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2024-06-05T19:20:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1507","W","FOSTER AVE","2032",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","4","6","41.976076063","-87.668675867","POINT (-87.66867586702 41.976076062927)"
"d2b64cd673076a2d836598e1cd92acce4afb285cd4076e488d86cb0494b88a93651235ed83560022448cb3badb47c390d51b8c82c8b9084bcf189ccb4ab10845",,"2024-06-05T19:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PEDALCYCLIST","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-05T19:15:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","1566","N","MILWAUKEE AVE","1424",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","19","4","6","41.909879819","-87.676913798","POINT (-87.676913797931 41.909879819378)"
"edf8b1685aefa345fec6548c624d30b968ae3b0b617ab511972079903a0c5f80614ae003dde21d3462a1ed227d153fe66f29c0d84f9de71de0c3b0e5c763a7ee",,"2024-06-05T19:00:00.000","10","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS","PARKED MOTOR VEHICLE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,"Y",,"$500 OR LESS","2024-06-05T20:06:00.000","IMPROPER BACKING","IMPROPER BACKING","6355","W","DICKENS AVE","2512",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","19","4","6","41.918121469","-87.785057933","POINT (-87.785057932628 41.918121469285)"
